Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 23.265, -0.095,-0.41, 4458496, -.1,
ADBE, Adobe Systems Incorporated, 70.9199, 0.8499,1.21, 1136733, .4,
AKAM, Akamai Technologies Inc., 60.58, 0.92,1.54, 896384, .2,
ALXN, Alexion Pharmaceuticals Inc., 169.95, -1.35,-0.79, 850237, -.2,
ALTR, Altera Corporation, 34.09, 0.06,0.18, 1348936, .0,
AMZN, Amazon.com Inc., 334.19, 0.56,0.17, 1935020, .2,
AMGN, Amgen Inc., 132.59, -0.21,-0.16, 1851748, -.1,
ADI, Analog Devices Inc., 51.265, 0.09,0.18, 682531, .0,
AAPL, Apple Inc., 99.1731, 1.1931,1.22, 36136923, 1.0,
AMAT, Applied Materials Inc., 22.1501, -0.3299,-1.47, 12453523, -.4,
ADSK, Autodesk Inc., 53.75, 1.09,2.07, 3161470, .2,
ADP, Automatic Data Processing Inc., 83.25, 0.98,1.19, 635052, .4,
AVGO, Avago Technologies Limited, 75.1, 0.31,0.41, 862588, .1,
BIDU, Baidu Inc., 219.31, 0.46,0.21, 1492154, .1,
BBBY, Bed Bath &amp; Beyond Inc., 62.48, 0.57,0.92, 962726, .1,
BIIB, Biogen Idec Inc., 343.75, 1.28,0.37, 995047, .3,
BRCM, Broadcom Corporation, 38.065, 0.055,0.14, 1657201, .0,
CHRW, C.H. Robinson Worldwide Inc., 68.06, 0.89,1.32, 714226, .1,
CA, CA Inc., 28.36, 0,0, 1403624, .0,
CTRX, Catamaran Corporation, 46.3, 0.5,1.09, 715834, .1,
CELG, Celgene Corporation, 91.22, 1.615,1.8, 4160781, .6,
CERN, Cerner Corporation, 55.79, 0.3,0.54, 827823, .1,
CHTR, Charter Communications Inc., 157.03, 1.42,0.91, 665634, .1,
CHKP, Check Point Software Technologies Ltd., 67.46, 0.42,0.63, 296134, .1,
CSCO, Cisco Systems Inc., 24.62, 0.19,0.78, 21019283, .9,
CTXS, Citrix Systems Inc., 69.735, 0.785,1.14, 1088704, .1,
CTSH, Cognizant Technology Solutions Corporation, 45.195, 0.435,0.97, 4429993, .2,
CMCSA, Comcast Corporation, 54.63, 0,0, 5465941, .0,
COST, Costco Wholesale Corporation, 119.54, 0.97,0.82, 834364, .4,
DTV, DIRECTV, 84.1438, -0.0662,-0.08, 1369939, .0,
DISCA, Discovery Communications Inc., 44.245, 0.76,1.75, 1739434, .1,
DISCK, Discovery Communications Inc., 42.24, 0.62,1.49, 831755, .0,
DISH, DISH Network Corporation, 65.09, 0.32,0.49, 662484, .1,
DLTR, Dollar Tree Inc., 54.46, -1.145,-2.06, 7299439, -.2,
EBAY, eBay Inc., 53.09, 0.45,0.85, 6206483, .5,
EQIX, Equinix Inc., 219.27, 2.32,1.07, 353575, .1,
EXPE, Expedia Inc., 86.07, 0.7,0.82, 977484, .1,
EXPD, Expeditors International of Washington Inc., 41.285, 0.685,1.69, 696147, .1,
ESRX, Express Scripts Holding Company, 73.75, 0.71,0.97, 2077483, .5,
FFIV, F5 Networks Inc., 116.53, 2.52,2.21, 534965, .2,
FB, Facebook Inc., 74.62, 0.99,1.34, 20239759, 1.8,
